"index","starting","ending","total"
1,9969840,9988344,18504
2,9717166,9735674,18508
3,9755704,9774202,18498
4,9778154,9796448,18294
5,9672466,9690976,18510
6,8700526,8719034,18508
7,9784546,9803050,18504
8,9657964,9676276,18312
9,9791044,9809556,18512
10,9764666,9783186,18520
11,9197982,9216488,18506
12,9810150,9828476,18326
13,9766370,9784892,18522
14,9730872,9749388,18516
15,8695160,8713674,18514
16,9721486,9739830,18344
17,9872226,9890748,18522
18,9867428,9885946,18518
19,9803588,9822106,18518
20,9781662,9800018,18356
21,9784454,9802982,18528
22,9848176,9866706,18530
23,9344202,9362732,18530
24,9818488,9836864,18376
25,9784504,9803042,18538
26,9893732,9912264,18532
27,8782638,8801178,18540
28,9821374,9839856,18482
29,9799164,9817716,18552
30,9197306,9215872,18566
31,9840740,9859286,18546
32,9783544,9801962,18418
33,8822270,8840830,18560
34,9784768,9803330,18562
35,9859416,9877978,18562
36,9698416,9716868,18452
37,9676610,9695180,18570
38,9795618,9814178,18560
39,9682586,9701134,18548
40,9394418,9412884,18466
41,9856650,9875230,18580
42,9702154,9720734,18580
43,9690856,9709424,18568
44,9801714,9820212,18498
45,9873780,9892358,18578
46,9798698,9817284,18586
47,9763706,9782282,18576
48,9725968,9744572,18604
49,9788520,9807128,18608
50,9376638,9395248,18610
51,9811148,9829748,18600
52,9785892,9804438,18546
53,9753250,9771852,18602
54,9787704,9806306,18602
55,9720034,9738630,18596
56,9746576,9765140,18564
57,9760200,9778836,18636
58,10007876,10026506,18630
59,9711340,9729962,18622
60,9728190,9746788,18598
61,9708440,9727092,18652
62,9746406,9765048,18642
63,9762438,9781124,18686
64,9753464,9772080,18616
65,9782520,9801198,18678
66,9755348,9774024,18676
67,9781438,9800128,18690
68,9801532,9820182,18650
69,8696630,8715300,18670
70,9788286,9806968,18682
71,9792780,9811466,18686
72,9838304,9856982,18678
73,9735548,9756940,21392
74,9736802,9758166,21364
75,9791940,9813286,21346
76,9787952,9808656,20704
77,9790720,9812054,21334
78,9238156,9259664,21508
79,9778824,9800146,21322
80,9787112,9807886,20774
81,9851438,9874620,23182
82,9773724,9796432,22708
83,9702340,9725512,23172
84,9792328,9815036,22708
85,9751870,9775008,23138
86,9756256,9779994,23738
87,9843496,9866630,23134
88,9757610,9780404,22794
89,9795518,9820254,24736
90,9826450,9851178,24728
91,9837198,9861934,24736
92,9747986,9772730,24744
93,9685818,9710620,24802
94,9885380,9910186,24806
95,9830704,9855524,24820
96,9888854,9913674,24820
97,9849750,9876524,26774
98,9752380,9779180,26800
99,9862566,9889338,26772
100,10001190,10027938,26748
101,9822238,9849066,26828
102,9221922,9248760,26838
103,9764882,9791630,26748
104,9990646,10017386,26740
105,9856584,9885424,28840
106,9793792,9822604,28812
107,9812532,9841352,28820
108,9800000,9828806,28806
109,9847894,9876774,28880
110,9856528,9885482,28954
111,9823982,9852928,28946
112,9775222,9804306,29084
113,9841020,9871892,30872
114,9809738,9840564,30826
115,9864702,9895542,30840
116,9855874,9886824,30950
117,9876086,9907376,31290
118,9855698,9886710,31012
119,9797942,9829208,31266
120,9805344,9836328,30984
121,9842536,9875452,32916
122,9786098,9818996,32898
123,9846328,9879230,32902
124,10005096,10038110,33014
125,9274278,9307474,33196
126,9848774,9881940,33166
127,9793970,9827072,33102
128,9786370,9819448,33078
