"index","starting","ending","total"
1,9851252,9869760,18508
2,9696460,9714964,18504
3,9747062,9765564,18502
4,9785814,9804106,18292
5,9662374,9680886,18512
6,9282036,9300544,18508
7,9714056,9732560,18504
8,9959800,9978110,18310
9,9717160,9735738,18578
10,9808122,9826636,18514
11,9629590,9648102,18512
12,9703904,9722230,18326
13,9752374,9770894,18520
14,9759056,9777574,18518
15,8779212,8797728,18516
16,9706528,9724872,18344
17,9869306,9887828,18522
18,9688816,9707336,18520
19,9892296,9910814,18518
20,9751584,9769944,18360
21,9711322,9729860,18538
22,9797060,9815670,18610
23,9623318,9641856,18538
24,9698778,9717162,18384
25,9714982,9733542,18560
26,9304712,9323246,18534
27,9763998,9782544,18546
28,9860328,9878734,18406
29,9697348,9715906,18558
30,9821160,9839934,18774
31,9476974,9495532,18558
32,9793830,9812340,18510
33,9863588,9882168,18580
34,9741964,9760536,18572
35,9797460,9816010,18550
36,9759456,9777910,18454
37,9342810,9363338,20528
38,9644690,9665222,20532
39,8685644,8706176,20532
40,9760006,9780466,20460
41,9799298,9822810,23512
42,9763622,9787132,23510
43,9786388,9809894,23506
44,9741112,9764574,23462
45,9790366,9814886,24520
46,9782652,9807178,24526
47,9601394,9625922,24528
48,9726714,9751186,24472
49,9784084,9811158,27074
50,9659642,9686726,27084
51,9718454,9745534,27080
52,8831734,8858778,27044
53,9812078,9840618,28540
54,9806740,9835282,28542
55,9727564,9756050,28486
56,9750166,9778730,28564
57,9768162,9798952,30790
58,9746774,9777542,30768
59,9752038,9782816,30778
60,9781350,9812114,30764
61,9828728,9861278,32550
62,9803464,9836026,32562
63,9807094,9839646,32552
64,9754918,9787480,32562
65,9694324,9728862,34538
66,9702428,9736964,34536
67,9424980,9459522,34542
68,9395756,9430296,34540
69,9793846,9830322,36476
70,9697208,9733768,36560
71,9699258,9735752,36494
72,9737856,9774350,36494
73,9721312,9759872,38560
74,9750466,9789026,38560
75,9226798,9265356,38558
76,9800722,9839270,38548
77,9407808,9448400,40592
78,9839004,9879600,40596
79,9799876,9840480,40604
80,9817060,9857654,40594
81,9874106,9917664,43558
82,9748900,9792468,43568
83,9679154,9722714,43560
84,9684880,9728442,43562
85,9699012,9743586,44574
86,9718388,9762972,44584
87,9834732,9879242,44510
88,8742596,8787126,44530
89,9792426,9839048,46622
90,9838360,9884982,46622
91,11886196,11932820,46624
92,9669882,9716502,46620
93,9682274,9730870,48596
94,9745968,9794580,48612
95,9696506,9745120,48614
96,8777140,8825766,48626
97,9771762,9822910,51148
98,9787490,9838654,51164
99,9254124,9305266,51142
100,9892984,9944126,51142
101,9750246,9802810,52564
102,9819090,9871654,52564
103,9807320,9859900,52580
104,9731920,9784496,52576
105,9762430,9817112,54682
106,9850080,9904724,54644
107,9670296,9724968,54672
108,8673336,8727980,54644
109,9879586,9936302,56716
110,9800000,9856876,56876
111,9771986,9828706,56720
112,9875864,9932806,56942
113,9738156,9797066,58910
114,9816598,9875510,58912
115,9884408,9943340,58932
116,9777318,9836200,58882
117,9793272,9853886,60614
118,9858630,9919320,60690
119,9813312,9873940,60628
120,9759344,9819948,60604
121,9810614,9873318,62704
122,9780346,9843064,62718
123,9779194,9841980,62786
124,9822538,9885260,62722
125,9794156,9858962,64806
126,9792488,9857376,64888
127,9424492,9489580,65088
128,9820976,9885852,64876
