"starting","ending","total"
613,178806,178193
613,178806,178193
613,178806,178193
613,178806,178193
614,178808,178194
614,178808,178194
614,178808,178194
614,178808,178194
616,178813,178197
616,178813,178197
616,178813,178197
616,178813,178197
617,179067,178450
617,179067,178450
617,179067,178450
617,179067,178450
616,179615,178999
616,179615,178999
616,179615,178999
616,179615,178999
618,179321,178703
618,179321,178703
618,179321,178703
618,179321,178703
619,178776,178157
619,178776,178157
619,178776,178157
619,178776,178157
621,179416,178795
621,179416,178795
621,179416,178795
621,179416,178795
620,180188,179568
620,179696,179076
620,180171,179551
620,179696,179076
621,180002,179381
621,180002,179381
621,180002,179381
621,180002,179381
623,180370,179747
623,180370,179747
623,180370,179747
623,180370,179747
624,181180,180556
624,181180,180556
624,181180,180556
624,181180,180556
626,182595,181969
626,182595,181969
626,182595,181969
626,182595,181969
626,184087,183461
626,184087,183461
626,184087,183461
626,184087,183461
628,185582,184954
628,185582,184954
628,185582,184954
628,185582,184954
630,186609,185979
630,186609,185979
630,186609,185979
630,186609,185979
634,188794,188160
634,188794,188160
634,188794,188160
634,188794,188160
636,190845,190209
636,190845,190209
636,190845,190209
636,190845,190209
638,194994,194356
638,194994,194356
638,194994,194356
638,194994,194356
643,196946,196303
643,196946,196303
643,196946,196303
643,196946,196303
645,199820,199175
645,199820,199175
645,199820,199175
645,199820,199175
647,203512,202865
647,203512,202865
647,203512,202865
647,203512,202865
652,206297,205645
652,206297,205645
652,206297,205645
652,206297,205645
654,210022,209368
654,210022,209368
654,210022,209368
654,210022,209368
657,209706,209049
657,209706,209049
657,209706,209049
657,209706,209049
658,213606,212948
658,213606,212948
658,213606,212948
658,213606,212948
663,217680,217017
663,217680,217017
663,217680,217017
663,217680,217017
663,217080,216417
663,217080,216417
663,217080,216417
663,217080,216417
669,219236,218567
669,219236,218567
669,219236,218567
669,219236,218567
673,223730,223057
673,223730,223057
673,223730,223057
673,223730,223057
672,234353,233681
672,234353,233681
672,234353,233681
672,234353,233681
679,229856,229177
679,229856,229177
679,229856,229177
679,229856,229177
